,symbol,exchangeShortName,type
311,XEC,NYSE,stock
312,DRI,NYSE,stock
313,ENDP,NASDAQ,stock
314,ATI,NYSE,stock
315,IAG,NYSE,stock
316,VFC,NYSE,stock
317,HON,NYSE,stock
318,YNDX,NASDAQ,stock
319,GOOGL,NASDAQ,stock
320,ICE,NYSE,stock
321,OMER,NASDAQ,stock
322,BLL,NYSE,stock
323,CGNX,NASDAQ,stock
324,AMGN,NASDAQ,stock
325,FSLR,NASDAQ,stock
326,IVZ,NYSE,stock
327,DG,NYSE,stock
328,SID,NYSE,stock
329,SLM,NASDAQ,stock
330,SLCA,NYSE,stock
331,SGU,NYSE,stock
332,ODP,NASDAQ,stock
333,TLGT,NASDAQ,stock
334,TOL,NYSE,stock
335,PDCO,NASDAQ,stock
336,Z,NASDAQ,stock
337,BCO,NYSE,stock
338,CME,NASDAQ,stock
339,BKD,NYSE,stock
340,PPBI,NASDAQ,stock
341,EXC,NASDAQ,stock
342,TAP,NYSE,stock
343,MON,NYSE,stock
344,UNP,NYSE,stock
345,BDX,NYSE,stock
346,GME,NYSE,stock
347,MX,NYSE,stock
348,LB,NYSE,stock
349,NCLH,NYSE,stock
350,NOV,NYSE,stock
351,CNDT,NASDAQ,stock
352,LMT,NYSE,stock
353,MTZ,NYSE,stock
354,WEN,NASDAQ,stock
355,GPS,NYSE,stock
356,SYY,NYSE,stock
357,FTV,NYSE,stock
358,BKI,NYSE,stock
359,CTSH,NASDAQ,stock
360,HOLX,NASDAQ,stock
361,EIX,NYSE,stock
362,CTXS,NASDAQ,stock
363,CPE,NYSE,stock
364,CF,NYSE,stock
365,PNC,NYSE,stock
366,SABR,NASDAQ,stock
367,WIT,NYSE,stock
368,LYB,NYSE,stock
369,DISH,NASDAQ,stock
370,MGA,NYSE,stock
371,AEO,NYSE,stock
372,BP,NYSE,stock
373,XEL,NASDAQ,stock
374,NTNX,NASDAQ,stock
375,VVV,NYSE,stock
376,HQY,NASDAQ,stock
377,ARCC,NASDAQ,stock
378,UPS,NYSE,stock
379,MUR,NYSE,stock
380,VMC,NYSE,stock
381,NOMD,NYSE,stock
382,ANTM,NYSE,stock
383,SFIX,NASDAQ,stock
384,GD,NYSE,stock
385,FNF,NYSE,stock
386,NWS,NASDAQ,stock
387,CHD,NYSE,stock
388,IP,NYSE,stock
389,SE,NYSE,stock
390,CC,NYSE,stock
391,DAN,NYSE,stock
392,ZBH,NYSE,stock
393,NVAX,NASDAQ,stock
394,LPX,NYSE,stock
395,BBY,NYSE,stock
396,GRUB,NYSE,stock
397,BG,NYSE,stock
398,LC,NYSE,stock
399,PWR,NYSE,stock
400,TNDM,NASDAQ,stock
401,DXCM,NASDAQ,stock
402,NTCT,NASDAQ,stock
403,NEM,NYSE,stock
404,BEN,NYSE,stock
405,SHLX,NYSE,stock
406,NAVI,NASDAQ,stock
407,PBH,NYSE,stock
408,SBH,NYSE,stock
409,NI,NYSE,stock
410,LLY,NYSE,stock
411,STNG,NYSE,stock
412,TTWO,NASDAQ,stock
413,KLAC,NASDAQ,stock
414,FHN,NYSE,stock
415,GOOG,NASDAQ,stock
416,HSIC,NASDAQ,stock
417,HLX,NYSE,stock
418,RSG,NYSE,stock
419,BIG,NYSE,stock
420,CYH,NYSE,stock
421,PAYC,NYSE,stock
422,GCP,NYSE,stock
423,YUM,NYSE,stock
424,STZ,NYSE,stock
425,LBTYK,NASDAQ,stock
426,LYG,NYSE,stock
427,MEOH,NASDAQ,stock
428,GIII,NASDAQ,stock
429,USFD,NYSE,stock
430,SFM,NASDAQ,stock
431,THC,NYSE,stock
432,ALLY,NYSE,stock
433,QRVO,NASDAQ,stock
434,TOPS,NASDAQ,stock
435,EVR,NYSE,stock
436,CMS,NYSE,stock
437,DOX,NASDAQ,stock
438,RIO,NYSE,stock
439,HMHC,NASDAQ,stock
440,NMRK,NASDAQ,stock
441,KMT,NYSE,stock
442,SRNE,NASDAQ,stock
443,AMR,NASDAQ,stock
444,HP,NYSE,stock
445,FLR,NYSE,stock
446,JHG,NYSE,stock
447,FDX,NYSE,stock
448,EMN,NYSE,stock
449,OPK,NASDAQ,stock
450,WU,NYSE,stock
451,BAX,NYSE,stock
452,CARS,NYSE,stock
453,NUAN,NASDAQ,stock
454,TEL,NYSE,stock
455,MLM,NYSE,stock
456,GWW,NYSE,stock
457,PBF,NYSE,stock
458,GT,NASDAQ,stock
459,EA,NASDAQ,stock
460,GPRO,NASDAQ,stock
461,BW,NYSE,stock
462,CMI,NYSE,stock
463,CNQ,NYSE,stock
464,HCA,NYSE,stock
465,VRTX,NASDAQ,stock
466,SAN,NYSE,stock
467,CNHI,NYSE,stock
468,CNX,NYSE,stock
469,INFO,NYSE,stock
470,YY,NASDAQ,stock
471,ES,NYSE,stock
472,FWONK,NASDAQ,stock
473,ARMK,NYSE,stock
474,OII,NYSE,stock
475,NOW,NYSE,stock
476,APTV,NYSE,stock
